variant	file	line	matched_text
you tastic	context/interviews-history/transcripts/interview_with_carlos_antonio_da_silva_a_rails_core_team_member_at_railsconf_2014.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_courtney_hemphill_on_mixing_lean_agile_development_at_goto_chicago_2014.txt	1	you tastic
utah state com	context/interviews-history/transcripts/interview_with_courtney_hemphill_on_mixing_lean_agile_development_at_goto_chicago_2014.txt	77	Utah State com
you tastic	context/interviews-history/transcripts/mike_lee.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_nitin_dhaware_and_dnyaneshwar_nerkar_gyani_at_railsconf_2014.txt	1	you tastic
utah state com	context/interviews-history/transcripts/interview_with_nitin_dhaware_and_dnyaneshwar_nerkar_gyani_at_railsconf_2014.txt	39	Utah State com
you tastic	context/interviews-history/transcripts/angelique_martin.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/dave_thomas01.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/dave_thomas01.txt	1	you tastic
you tastic	context/interviews-history/transcripts/yehuda_katz_tom_dale-_the_lost_interview.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_jeremy_green_on_his_authentication_in_soa_talk_at_railsconf_2014.txt	1	you tastic
utah state com	context/interviews-history/transcripts/interview_with_jeremy_green_on_his_authentication_in_soa_talk_at_railsconf_2014.txt	37	Utah State com
you tastic	context/interviews-history/transcripts/james_edward_gray.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_justin_collins_creator_of_brakeman_at_railsconf_2014.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_justin_gordon_on_how_his_presentation_evolved_at_railsconf_2014.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_evan_light_founder_dcamp_at_railsconf_2014.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_tim_bray_co-inventor_xml_at_goto_chicago_2014.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/jen_myers_promotes_rails_girls_summer_of_code_2014_event.txt	27	yet you classic
yet you classic	context/interviews-history/transcripts/adam_connor01.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/adam_connor01.txt	1	you tastic
utah state com	context/interviews-history/transcripts/adam_connor01.txt	35	Utah State com
you tastic	context/interviews-history/transcripts/interview_with_gary_bernhardt_scna_2012.txt	1	you tastic
you tastic	context/interviews-history/transcripts/mike_clement.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/chet_hendrickson_ron_jefferies.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/chet_hendrickson_ron_jefferies.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/chet_hendrickson_ron_jefferies.txt	131	yet you classic
you tastic	context/interviews-history/transcripts/interview_with_kiyoto_tamura_a_maintainer_of_fluentd_a_log_integration_tool_at_railsconf_2014.txt	1	you tastic
utah state com	context/interviews-history/transcripts/interview_with_kiyoto_tamura_a_maintainer_of_fluentd_a_log_integration_tool_at_railsconf_2014.txt	33	Utah State com
you tastic	context/interviews-history/transcripts/colin_jones.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/bill_scott.txt	1	yet you classic
new tastic	context/interviews-history/transcripts/bill_scott.txt	1	new tastic
you tastic	context/interviews-history/transcripts/interview_with_richard_schneeman_a_hacker_at_heroku_and_avid_f-oss_contributor_at_railsconf_2014.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/interview_with_richard_schneeman_a_hacker_at_heroku_and_avid_f-oss_contributor_at_railsconf_2014.txt	87	yet you classic
you tastic	context/interviews-history/transcripts/interview_with_max_de_marzi_organizer_graph_db_chicago_at_goto_chicago_2014.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/interview_with_max_de_marzi_organizer_graph_db_chicago_at_goto_chicago_2014.txt	41	yet you classic
you tastic	context/interviews-history/transcripts/interview_with_amanda_and_jesse_harlin_from_okcjs_thunder_plans_and_techlahoma.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_dave_duggal_goto_chicago_2015.txt	1	you tastic
you tastic	context/interviews-history/transcripts/andy_lester.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/amitai_schlair.txt	1	yet you classic
you task	context/interviews-history/transcripts/amitai_schlair.txt	1	you task
you tess	context/interviews-history/transcripts/interview_with_sean_massa_organizer_geekfest_and_chicago_nodejs_and_emberjs_user-groups.txt	73	you Tess
you tastic	context/interviews-history/transcripts/interview_with_coraline_ada_ehmke_on_artisians_apprentices_at_railsconf_2014.txt	1	you tastic
you tastic	context/interviews-history/transcripts/chris_whitaker.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/adam_connor.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/adam_connor.txt	1	you tastic
utah state com	context/interviews-history/transcripts/adam_connor.txt	35	Utah State com
you tastic	context/interviews-history/transcripts/patrick_welsh.txt	1	you tastic
you tess	context/interviews-history/transcripts/mike_jansen.txt	1	you Tess
yet you classic	context/interviews-history/transcripts/adewale_oshineye.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/adewale_oshineye.txt	1	you tastic
you classic	context/interviews-history/transcripts/adewale_oshineye.txt	13	you classic
you tastic	context/interviews-history/transcripts/adewale_oshineye.txt	49	you tastic
yet you classic	context/interviews-history/transcripts/adewale_oshineye.txt	133	yet you classic
yet you classic	context/interviews-history/transcripts/kresten_thorup.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/kresten_thorup.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/kresten_thorup.txt	105	yet you classic
you tastic	context/interviews-history/transcripts/interview_with_rainey_reitman_sina_khanifar_about_the_contact-congress_project.txt	39	you tastic
you tastic	context/interviews-history/transcripts/michael_eaton.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/jason_ulaszek.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/interview_with_richard_lee_a_contributor_to_openstack_at_goto_chicago_2014.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_greg_baugues_on_mental_health_in_tech_at_railsconf_2014.txt	1	you tastic
you tastic	context/interviews-history/transcripts/charles_oliver_nutter.txt	1	you tastic
you tastic	context/interviews-history/transcripts/robreynolds.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/jason_cranford_teague.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/interview_with_brian_ray_from_the_chicago_python_user-group_on_his_new_group_called_chia.txt	1	you tastic
you tastic	context/interviews-history/transcripts/ken_auer.txt	1	you tastic
you tastic	context/interviews-history/transcripts/ken_auer.txt	109	you tastic
you task	context/interviews-history/transcripts/interview_with_dean_wampler_goto_chicago_2015.txt	1	you task
duke tastic	context/interviews-history/transcripts/mike_miller01.txt	1	Duke tastic
yet you classic	context/interviews-history/transcripts/sarah_gray.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/sarah_gray.txt	1	you tastic
you cast accom	context/interviews-history/transcripts/sarah_gray.txt	47	you cast accom
yet you classic	context/interviews-history/transcripts/stephen_anderson01.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/stephen_anderson01.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/stephen_anderson01.txt	41	yet you classic
you tastic	context/interviews-history/transcripts/corey_haines.txt	1	you tastic
you task	context/interviews-history/transcripts/interview_with_ryan_gerry_organizer_with_software_craftsmanship_mchenry_county_at_goto_chicago_2014.txt	1	you task
yet you classic	context/interviews-history/transcripts/eric_kingery.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/eric_kingery.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_evan_phoenix_creator_of_rubinius_ruby_vm_and_puma_app_server_at_railsconf_2014.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/chet_hendrickson_ron_jeffries.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/chet_hendrickson_ron_jeffries.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/chet_hendrickson_ron_jeffries.txt	131	yet you classic
you tastic	context/interviews-history/transcripts/robert_martin.txt	1	you tastic
you tastic	context/interviews-history/transcripts/robert_martin.txt	13	you tastic
you tastic	context/interviews-history/transcripts/interview_with_rafael_franca_a_2014_ruby_hero_at_railsconf_2014.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/zachary_shaw.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/zachary_shaw.txt	1	you tastic
you tastic	context/interviews-history/transcripts/adewale_oshinye.txt	1	you tastic
you tastic	context/interviews-history/transcripts/daniel_x_oneil.txt	1	you tastic
you tastic	context/interviews-history/transcripts/culley_smith.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_rich_hickey_creator_of_clojure_at_goto_chicago_2013.txt	1	you tastic
you tastic	context/interviews-history/transcripts/avdi_grimm.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/michael_ficarra01.txt	1	yet you classic
yet you classic	context/interviews-history/transcripts/michael_ficarra01.txt	59	yet you classic
utah state com	context/interviews-history/transcripts/randy_ellis.txt	1	Utah State com
you tastic	context/interviews-history/transcripts/randy_ellis.txt	1	you tastic
you tastic	context/interviews-history/transcripts/randy_ellis.txt	3	you tastic
you tastic	context/interviews-history/transcripts/randy_ellis.txt	81	you tastic
you tastic	context/interviews-history/transcripts/interview_with_zassmin_montes_de_oca_the_exec_director_with_women_who_code_at_railsconf_2014.txt	1	you tastic
you tastic	context/interviews-history/transcripts/ugtastic_update_1.txt	1	you tastic
you tastic	context/interviews-history/transcripts/ugtastic_update_1.txt	11	you tastic
you tastic	context/interviews-history/transcripts/ugtastic_update_1.txt	11	you tastic
you tastic	context/interviews-history/transcripts/ugtastic_update_1.txt	13	you tastic
you tastic	context/interviews-history/transcripts/ugtastic_update_1.txt	13	you tastic
you tastic	context/interviews-history/transcripts/ugtastic_update_1.txt	13	you tastic
at you classic	context/interviews-history/transcripts/interview_with_david_heinemeier_hansson_dhh_at_railsconf_2014.txt	1	at you classic
you tastic	context/interviews-history/transcripts/interview_with_david_heinemeier_hansson_dhh_at_railsconf_2014.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_david_heinemeier_hansson_dhh_at_railsconf_2014.txt	67	you tastic
at you classic	context/interviews-history/transcripts/interview_with_david_heinemeier_hansson_dhh_at_railsconf_2014.txt	83	at you classic
you tastic	context/interviews-history/transcripts/mandi_walls.txt	1	you tastic
you tasik	context/interviews-history/transcripts/mark_simpson.txt	1	you tasik
you tastic	context/interviews-history/transcripts/igor_polevoy.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_jez_humble_on_devops_culture_at_goto_chicago_2014.txt	1	you tastic
utah state com	context/interviews-history/transcripts/interview_with_jez_humble_on_devops_culture_at_goto_chicago_2014.txt	75	Utah State com
you tastic	context/interviews-history/transcripts/railsconf_2014_interview_camera_setup.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_leslie_borrell_alberto_silveira_from_amplify_access_at_goto_chicago.txt	1	you tastic
at you classic	context/interviews-history/transcripts/interview_with_stuart_halloway_scna_2012.txt	1	at you classic
you tastic	context/interviews-history/transcripts/interview_with_stuart_halloway_scna_2012.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_aino_vonge_corry_an_speaker_introducer_at_goto_chicago_2014.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/interview_with_aino_vonge_corry_an_speaker_introducer_at_goto_chicago_2014.txt	45	yet you classic
you tastic	context/interviews-history/transcripts/interview_with_giles_bowkett_author_rails_as_she_is_spoke_on_civility_in_community.txt	1	you tastic
you tastic	context/interviews-history/transcripts/cory_foy.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/hadi_hariri.txt	1	yet you classic
you tasik	context/interviews-history/transcripts/hadi_hariri.txt	1	you tasik
you tastic	context/interviews-history/transcripts/interview_with_melissa_castello_professional_interviewer_at_chicago_web_conf_2013.txt	1	you tastic
you task	context/interviews-history/transcripts/interview_with_russ_olsen_author_eloquent_ruby_at_goto_chicago_2014.txt	1	you task
you tastic	context/interviews-history/transcripts/aaron_kalin.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_sarah_allen_and_desi_mcadam.txt	1	you tastic
you task	context/interviews-history/transcripts/interview_with_adrian_cockcroft_keynote_speaker_for_goto_chicago_20143gp.txt	1	you task
you tastic	context/interviews-history/transcripts/interview_with_justin_searls_creator_of_linemanjs_at_railsconf_2014.txt	1	you tastic
utah state com	context/interviews-history/transcripts/interview_with_justin_searls_creator_of_linemanjs_at_railsconf_2014.txt	67	Utah State com
yet you classic	context/interviews-history/transcripts/shay_howe_russ_unger.txt	1	yet you classic
yet you classic	context/interviews-history/transcripts/interview_with_ola_bini_creator_of_ioke_and_jruby_contributor.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/interview_with_ola_bini_creator_of_ioke_and_jruby_contributor.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/erik_meijer.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/erik_meijer.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/erik_meijer.txt	107	yet you classic
at you classic	context/interviews-history/transcripts/sandro_mancuso01.txt	1	at you classic
you tastic	context/interviews-history/transcripts/sandro_mancuso01.txt	1	you tastic
you tastic	context/interviews-history/transcripts/teach_yourself_beginning_community_in_24_months.txt	1	you tastic
you tastic	context/interviews-history/transcripts/teach_yourself_beginning_community_in_24_months.txt	31	you tastic
you tastic	context/interviews-history/transcripts/justin_love.txt	1	you tastic
you tastic	context/interviews-history/transcripts/railsconf_2014_interview_guest_preparation.txt	11	you tastic
you tastic	context/interviews-history/transcripts/railsconf_2014_interview_guest_preparation.txt	11	you tastic
utah state com	context/interviews-history/transcripts/interview_with_trisha_gee_on_building_a_buzzword-compliant_web_app_at_goto_chicago_2014.txt	63	Utah State com
you task	context/interviews-history/transcripts/aaron_holbrook.txt	1	you task
you tastic	context/interviews-history/transcripts/interview_with_john_jarosz_coleman_collins_on_building_ecosystems_at_goto_chicago_2014.txt	1	you tastic
utah state com	context/interviews-history/transcripts/interview_with_john_jarosz_coleman_collins_on_building_ecosystems_at_goto_chicago_2014.txt	61	Utah State com
you tastic	context/interviews-history/transcripts/ugtastic_update_2.txt	7	you tastic
you tastic	context/interviews-history/transcripts/mike_burton.txt	1	you tastic
you tastic	context/interviews-history/transcripts/arthur_kay.txt	1	you tastic
you cast accom	context/interviews-history/transcripts/anna_lear.txt	1	you cast accom
you tastic	context/interviews-history/transcripts/anna_lear.txt	1	you tastic
you tastic	context/interviews-history/transcripts/sean_massa_and_todd_larsen.txt	1	you tastic
utah state com	context/interviews-history/transcripts/interview_with_camille_fournier_on_rewriting_software_at_goto_chicago_2014.txt	39	Utah State com
yet you classic	context/interviews-history/transcripts/brad_smith.txt	63	yet you classic
you tastic	context/interviews-history/transcripts/andrea_magnorsky.txt	1	you tastic
you tastic	context/interviews-history/transcripts/joel_clermont.txt	1	you tastic
you tastic	context/interviews-history/transcripts/tim_ottinger.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_andy_maleh_at_railsconf_2014.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_ashe_dryden_advocate_for_tech_diversity.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_joel_turnbull_on_his_debugger_driven_development_talk_at_railsconf_2014.txt	1	you tastic
you tess	context/interviews-history/transcripts/jen_myers.txt	1	you Tess
yet you classic	context/interviews-history/transcripts/katrina_owen.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/katrina_owen.txt	1	you tastic
utah state com	context/interviews-history/transcripts/katrina_owen.txt	55	Utah State com
you tastic	context/interviews-history/transcripts/interview_with_michael_t_nygard_looking_back_on_five_years_of_devops_at_goto_chicago_2014.txt	1	you tastic
you task	context/interviews-history/transcripts/interview_with_fred_guime_organizer_chicago_java_ug_at_goto_chicago_2014.txt	1	you task
you tastic	context/interviews-history/transcripts/sandro_mancuso.txt	1	you tastic
you tastic	context/interviews-history/transcripts/sandro_mancuso.txt	3	you tastic
yet you classic	context/interviews-history/transcripts/mike_miller.txt	1	yet you classic
duke tastic	context/interviews-history/transcripts/mike_miller.txt	1	Duke tastic
utah state com	context/interviews-history/transcripts/mike_miller.txt	111	Utah State com
you tastic	context/interviews-history/transcripts/carl_erickson.txt	1	you tastic
you tastic	context/interviews-history/transcripts/interview_with_fred_george_on_programmer_anarchy_at_goto_chicago_2014.txt	1	you tastic
utah state com	context/interviews-history/transcripts/interview_with_fred_george_on_programmer_anarchy_at_goto_chicago_2014.txt	83	Utah State com
yet you classic	context/interviews-history/transcripts/carina_c_zona.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/carina_c_zona.txt	1	you tastic
you classic	context/interviews-history/transcripts/carina_c_zona.txt	27	you classic
you classic	context/interviews-history/transcripts/interview_with_liz_abinante_co-leader_girl_develop_it_chicago_at_railsconf_2014.txt	1	you classic
yet you classic	context/interviews-history/transcripts/interview_with_liz_abinante_co-leader_girl_develop_it_chicago_at_railsconf_2014.txt	35	yet you classic
yet you classic	context/interviews-history/transcripts/angelique_martin01.txt	1	yet you classic
yuma tastic	context/interviews-history/transcripts/angelique_martin01.txt	1	Yuma tastic
you tastic	context/interviews-history/transcripts/jim_remsik.txt	1	you tastic
yet you classic	context/interviews-history/transcripts/brad_nunnally.txt	1	yet you classic
you tastic	context/interviews-history/transcripts/brad_nunnally.txt	1	you tastic
utah state com	context/interviews-history/transcripts/brad_nunnally.txt	59	Utah State com
you tasik	context/interviews-history/transcripts/interview_with_aaron_patterson_ruby_rails_core_team_member_and_keynoter_at_railsconf_2014.txt	1	you tasik
yet you classic	context/interviews-history/transcripts/interview_with_aaron_patterson_ruby_rails_core_team_member_and_keynoter_at_railsconf_2014.txt	59	yet you classic
